coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,message,rain
"{'lon': 56.91, 'lat': 55.83}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 41.74, 'feels_like': 36.37, 'temp_min': 41.74, 'temp_max': 41.74, 'pressure': 1013, 'humidity': 83, 'sea_level': 1013, 'grnd_level': 995}",,"{'speed': 4.59, 'deg': 357}",{'all': 82},1593038488.0,"{'country': 'RU', 'sunrise': 1593041294, 'sunset': 1593104501}",18000.0,552862.0,Karaidel',200,,
"{'lon': -115.8, 'lat': 60.82}","[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",stations,"{'temp': 71.6, 'feels_like': 66.13, 'temp_min': 71.6, 'temp_max': 71.6, 'pressure': 1003, 'humidity': 40}",24140.0,"{'speed': 8.05, 'deg': 70}",{'all': 40},1593038488.0,"{'type': 1, 'id': 819, 'country': 'CA', 'sunrise': 1592993426, 'sunset': 1593062457}",-21600.0,5972762.0,Hay River,200,,
"{'lon': 140.77, 'lat': -37.83}","[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}]",stations,"{'temp': 44.6, 'feels_like': 38.17, 'temp_min': 44.6, 'temp_max': 44.6, 'pressure': 1017, 'humidity': 100}",10000.0,"{'speed': 9.17, 'deg': 360}",{'all': 75},1593038488.0,"{'type': 1, 'id': 9560, 'country': 'AU', 'sunrise': 1593035587, 'sunset': 1593069949}",34200.0,2156643.0,Mount Gambier,200,,
"{'lon': -17.34, 'lat': 66.04}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 55.4, 'feels_like': 42.78, 'temp_min': 55.4, 'temp_max': 55.4, 'pressure': 1002, 'humidity': 71}",10000.0,"{'speed': 20.8, 'deg': 118}",{'all': 40},1593038488.0,"{'type': 1, 'id': 83, 'country': 'IS', 'sunrise': 0, 'sunset': 0}",0.0,2629833.0,Husavik,200,,
"{'lon': 173.17, 'lat': -35.17}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 60.98, 'feels_like': 59.74, 'temp_min': 60.98, 'temp_max': 60.98, 'pressure': 1008, 'humidity': 83, 'sea_level': 1008, 'grnd_level': 1007}",,"{'speed': 5.41, 'deg': 34}",{'all': 48},1593038488.0,"{'country': 'NZ', 'sunrise': 1593027372, 'sunset': 1593062610}",43200.0,2194098.0,Ahipara,200,,{'1h': 0.52}
,,,,,,,,,,,,404,city not found,
"{'lon': -175.2, 'lat': -21.2}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 77, 'feels_like': 79.59, 'temp_min': 77, 'temp_max': 77, 'pressure': 1017, 'humidity': 73}",10000.0,"{'speed': 6.93, 'deg': 120}",{'all': 75},1593038488.0,"{'type': 1, 'id': 7285, 'country': 'TO', 'sunrise': 1593109090, 'sunset': 1593148133}",46800.0,4032243.0,Vaini,200,,
"{'lon': -79.24, 'lat': 42.1}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 67.95, 'feels_like': 57.9, 'temp_min': 66.2, 'temp_max': 69.01, 'pressure': 1012, 'humidity': 45}",16093.0,"{'speed': 16.11, 'deg': 270}",{'all': 20},1593038488.0,"{'type': 1, 'id': 4588, 'country': 'US', 'sunrise': 1592991723, 'sunset': 1593046609}",-14400.0,5122534.0,Jamestown,200,,
"{'lon': 30.79, 'lat': 59.7}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 60.31, 'feels_like': 59.29, 'temp_min': 59, 'temp_max': 61, 'pressure': 1025, 'humidity': 82}",10000.0,"{'speed': 4.47, 'deg': 240}",{'all': 60},1593038436.0,"{'type': 1, 'id': 8926, 'country': 'RU', 'sunrise': 1593045459, 'sunset': 1593112876}",10800.0,546105.0,Nikolskoye,200,,
"{'lon': 12.15, 'lat': -15.2}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 69.55, 'feels_like': 68.04, 'temp_min': 69.55, 'temp_max': 69.55, 'pressure': 1015, 'humidity': 57, 'sea_level': 1015, 'grnd_level': 1012}",,"{'speed': 4.7, 'deg': 135}",{'all': 0},1593038488.0,"{'country': 'AO', 'sunrise': 1592977024, 'sunset': 1593017435}",3600.0,3347019.0,Mossamedes,200,,
"{'lon': 88.4, 'lat': 69.49}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 55.4, 'feels_like': 52.97, 'temp_min': 55.4, 'temp_max': 55.4, 'pressure': 1004, 'humidity': 82}",10000.0,"{'speed': 4.47, 'deg': 180}",{'all': 74},1593038488.0,"{'type': 1, 'id': 8951, 'country': 'RU', 'sunrise': 0, 'sunset': 0}",25200.0,1490256.0,Talnakh,200,,
"{'lon': 57.7, 'lat': -20.41}","[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}]",stations,"{'temp': 71.6, 'feels_like': 72.23, 'temp_min': 71.6, 'temp_max': 71.6, 'pressure': 1020, 'humidity': 83}",10000.0,"{'speed': 9.17, 'deg': 120}",{'all': 40},1593038488.0,"{'type': 1, 'id': 2061, 'country': 'MU', 'sunrise': 1593053095, 'sunset': 1593092320}",14400.0,934322.0,Mahébourg,200,,
"{'lon': -25.43, 'lat': 37.72}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 62.6, 'feels_like': 60.39, 'temp_min': 62.6, 'temp_max': 62.6, 'pressure': 1029, 'humidity': 72}",10000.0,"{'speed': 5.82, 'deg': 320}",{'all': 75},1593038434.0,"{'type': 1, 'id': 6899, 'country': 'PT', 'sunrise': 1592979664, 'sunset': 1593032835}",0.0,3372472.0,Vila Franca do Campo,200,,
